phy.species,depth_cat,habitat3,benthic,sociality.3,sociality.bin,depth.max,depth.min,depth.range,depth.mean,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,lifespan.mean,matage.mean,pos.latmean,eq.dist,CNS_measure,CNS_value,ML_measure,ML_value
Hapalochlaena_fasciata,1,2,1,1,0,-2.47,-1.227,-1.037,-2.457,-1.61,NA,NA,-1.496,-0.873,0.515,-1.263,-0.957,-0.828,NA,-0.552,-0.325,NA,-1.441,-2.269,0.385,CNS.3,NA,ML.3,NA
Helicocranchia_pfefferi,3,0,0,1,0,0.617,1.085,-7.79,1.015,-0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.996,-1.956,NA,NA,0.345,0.313,CNS.1,-1.844,ML.1,NA
Helicocranchia_pfefferi,3,0,0,1,0,0.617,1.085,-7.79,1.015,-0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.996,-1.956,NA,NA,0.345,0.313,CNS.2,NA,ML.2,NA
Helicocranchia_pfefferi,3,0,0,1,0,0.617,1.085,-7.79,1.015,-0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.996,-1.956,NA,NA,0.345,0.313,CNS.3,NA,ML.3,NA
Heteroteuthis_dispar,2,1,1,3,1,0.003,0.819,0.084,0.038,-0.019,0.2,1.138,0.053,0.887,-0.575,NA,NA,NA,1.061,0.252,0.26,0.588,0.261,0.489,0.352,CNS.1,-0.544,ML.1,-1.587
Heteroteuthis_dispar,2,1,1,3,1,0.003,0.819,0.084,0.038,-0.019,0.2,1.138,0.053,0.887,-0.575,NA,NA,NA,1.061,0.252,0.26,0.588,0.261,0.489,0.352,CNS.2,-1.546,ML.2,-1.855
Heteroteuthis_dispar,2,1,1,3,1,0.003,0.819,0.084,0.038,-0.019,0.2,1.138,0.053,0.887,-0.575,NA,NA,NA,1.061,0.252,0.26,0.588,0.261,0.489,0.352,CNS.3,-1.489,ML.3,-1.976
Histioteuthis_miranda,4,1,1,1,0,0.274,0.917,0.163,0.373,0.003,0.2,1.138,NA,NA,NA,NA,NA,-2.028,0.236,-0.872,-0.633,0.588,NA,-1.264,0.2,CNS.1,0.281,ML.1,-0.272
Histioteuthis_miranda,4,1,1,1,0,0.274,0.917,0.163,0.373,0.003,0.2,1.138,NA,NA,NA,NA,NA,-2.028,0.236,-0.872,-0.633,0.588,NA,-1.264,0.2,CNS.2,NA,ML.2,NA
Histioteuthis_miranda,4,1,1,1,0,0.274,0.917,0.163,0.373,0.003,0.2,1.138,NA,NA,NA,NA,NA,-2.028,0.236,-0.872,-0.633,0.588,NA,-1.264,0.2,CNS.3,NA,ML.3,NA
Illex_coindetii,2,1,1,1,0,0.216,-1.227,0.227,0.169,0.505,-0.212,-0.818,-0.297,-0.897,NA,NA,-0.957,0.371,0.701,1.117,1.5,-0.513,-0.653,0.253,0.285,CNS.1,1.176,ML.1,0.931
Illex_coindetii,2,1,1,1,0,0.216,-1.227,0.227,0.169,0.505,-0.212,-0.818,-0.297,-0.897,NA,NA,-0.957,0.371,0.701,1.117,1.5,-0.513,-0.653,0.253,0.285,CNS.2,0.606,ML.2,0.812
Illex_coindetii,2,1,1,1,0,0.216,-1.227,0.227,0.169,0.505,-0.212,-0.818,-0.297,-0.897,NA,NA,-0.957,0.371,0.701,1.117,1.5,-0.513,-0.653,0.253,0.285,CNS.3,NA,ML.3,NA
Illex_illecebrosus,2,1,1,3,1,0.769,0.667,0.485,0.715,-0.273,-0.794,-1.471,-1.892,-1.394,0.866,1.392,0.742,0.757,0.701,1.47,1.496,-1.179,-1.91,1.109,0.481,CNS.1,0.581,ML.1,0.917
Illex_illecebrosus,2,1,1,3,1,0.769,0.667,0.485,0.715,-0.273,-0.794,-1.471,-1.892,-1.394,0.866,1.392,0.742,0.757,0.701,1.47,1.496,-1.179,-1.91,1.109,0.481,CNS.2,NA,ML.2,NA
Illex_illecebrosus,2,1,1,3,1,0.769,0.667,0.485,0.715,-0.273,-0.794,-1.471,-1.892,-1.394,0.866,1.392,0.742,0.757,0.701,1.47,1.496,-1.179,-1.91,1.109,0.481,CNS.3,NA,ML.3,NA
Japetella_diaphana,3,0,0,1,0,0.766,0.978,0.399,0.848,0.764,NA,NA,NA,NA,-1.666,NA,-0.225,0.371,0.701,-0.34,-0.212,NA,NA,-0.138,0.12,CNS.1,-2.082,ML.1,-1.32
